epoch,train_loss,train_natural_ac,train_natural_auroc,train_natural_auprc,seen_site_macro_ac,lr,is_best_checkpoint,elapsed_seconds,val_I0002_ac_auroc,val_I0002_auroc,val_I0002_auprc,val_I0002_eligible_ac_pairs,val_I0006_ac_auroc,val_I0006_auroc,val_I0006_auprc,val_I0006_eligible_ac_pairs
11,1.3198145070712861,0.8007875775009775,0.8322949572949573,0.4376763282742805,0.7511522134627047,0.001,False,91.20594501495361,0.7352941176470589,0.7333333333333334,0.33113686185936825,68,0.7670103092783506,0.7599912165129556,0.3210334255771786,485
12,1.420746288479191,0.7994749483326816,0.8319805194805194,0.42020532960927515,0.753077622801698,0.001,False,87.59080529212952,0.7205882352941176,0.7333333333333333,0.4202869131001152,68,0.7855670103092783,0.777119016249451,0.2847230450298315,485
13,1.3101686535224522,0.8271798022677763,0.8574207324207324,0.46843226009174865,0.7315342631898121,0.001,False,87.94082164764404,0.6764705882352942,0.6972222222222222,0.35841036414565824,68,0.7865979381443299,0.7676767676767677,0.2963899621214362,485
14,1.3283216479706437,0.8248058984527733,0.8521484146484146,0.4732448776793002,0.7382352941176471,0.0005,False,88.65756320953369,0.6764705882352942,0.7064814814814815,0.42601293103448273,68,0.8,0.7880983750548969,0.3092711972616577,485
15,1.2505501550558495,0.8498296374909233,0.8721115596115595,0.5045972966255398,0.7332171012734991,0.0005,False,88.27089333534241,0.6911764705882353,0.6925925925925926,0.3470585109083294,68,0.7752577319587629,0.7776679841897234,0.31498773643977585,485
16,1.2345989162791264,0.8486566497235101,0.8745795308295308,0.5172516365706356,0.7719072164948453,0.0005,True,94.97546029090881,0.75,0.700925925925926,0.366828930228698,68,0.7938144329896907,0.785243741765481,0.34323088420673575,485
17,1.2551641739802817,0.8513098363402781,0.876542939042939,0.5353596171296471,0.7437992722862341,0.0005,False,89.34288716316223,0.7205882352941176,0.6925925925925926,0.3417872254164824,68,0.7670103092783506,0.770860781730347,0.34857563073986286,485
18,1.2218709943229205,0.8668100318382393,0.8872338247338247,0.5565656940571596,0.7303289872650092,0.0005,False,88.34013676643372,0.7132352941176471,0.687037037037037,0.30167796384901646,68,0.7474226804123711,0.764163372859025,0.33723394935176043,485
19,1.274503890578061,0.8662235379545328,0.8874678249678248,0.5644267099813196,0.7742116434202546,0.0005,True,91.27484965324402,0.7205882352941176,0.7111111111111111,0.37834645909645903,68,0.8278350515463917,0.8035792709705754,0.37042013298847926,485
20,1.1841813920907778,0.8979221359548679,0.9124217561717562,0.6267440952289139,0.7677835051546391,0.0005,False,89.50070214271545,0.75,0.6962962962962962,0.3311899525205977,68,0.7855670103092783,0.7898550724637681,0.37458845488610204,485
21,1.0996661784305966,0.912807909288946,0.9258511758511758,0.649534510255734,0.7613932686476652,0.0005,False,90.41355991363525,0.7279411764705882,0.6888888888888889,0.37676282051282045,68,0.7948453608247422,0.7936978480456742,0.40210034514333926,485
22,1.160651608893316,0.908730380383176,0.9222753597753597,0.6540185499790698,0.7053441479684657,0.0005,False,85.19937539100647,0.7426470588235294,0.6888888888888889,0.32587337662337656,68,0.668041237113402,0.7215634606938954,0.31188840702968923,485
23,1.107192244023493,0.9050717756800536,0.9189554814554814,0.6441165513081779,0.6945952092177077,0.0005,False,90.63042449951172,0.6397058823529411,0.6148148148148149,0.2733080808080808,68,0.7494845360824742,0.7816205533596838,0.3304443740155009,485
24,0.9910024608651252,0.9221359548678992,0.931489118989119,0.675840551834127,0.7157216494845361,0.0005,False,89.8328070640564,0.75,0.6888888888888889,0.2936055211558307,68,0.6814432989690722,0.7246376811594204,0.327342713202845,485
25,1.0814090070046791,0.9113835669999442,0.9264215514215515,0.6808033959828148,0.7637659187386294,0.0005,False,94.30277800559998,0.7058823529411765,0.6453703703703704,0.27615135046113304,68,0.8216494845360824,0.8144488361879667,0.41352788087649045,485
