level,model,condition,outer_seed,folds_total,folds_with_ac,folds_with_auroc,ac_auroc,auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,ac_repeat_min,ac_repeat_max,ac_repeat_sd
repeat,p3_compact35,site_I0006,7,3,3,3,0.557142857142857,0.7800540201855991,15.666666666666666,4.333333333333333,35.666666666666664,3.3333333333333335,10.0,N/A,N/A,N/A
repeat,p3_compact35,site_S0001,7,3,3,3,0.48374604559834183,0.7452686800230407,285.6666666666667,13.333333333333334,191.0,13.0,144.0,N/A,N/A,N/A
repeat,p3_global59,overall,7,3,3,3,0.5373786696801858,0.7622369085841018,452.0,17.666666666666668,226.66666666666666,17.0,174.33333333333334,N/A,N/A,N/A
repeat,p3_global59,same_site,7,3,3,3,0.4962702561618914,0.7510509478219536,301.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,154.0,N/A,N/A,N/A
repeat,p3_global59,cross_site,7,3,3,3,0.570611717403165,0.7656851230454343,150.66666666666666,17.666666666666668,226.66666666666666,16.0,89.0,N/A,N/A,N/A
repeat,p3_global59,site_I0002,7,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_global59,site_I0006,7,3,3,3,0.5285714285714286,0.7466124489150805,15.666666666666666,4.333333333333333,35.666666666666664,3.3333333333333335,10.0,N/A,N/A,N/A
repeat,p3_global59,site_S0001,7,3,3,3,0.4855247687962862,0.7483113277171761,285.6666666666667,13.333333333333334,191.0,13.0,144.0,N/A,N/A,N/A
repeat,p3_stage155,overall,7,3,3,3,0.45291883877335454,0.7346261972123181,452.0,17.666666666666668,226.66666666666666,17.0,174.33333333333334,N/A,N/A,N/A
repeat,p3_stage155,same_site,7,3,3,3,0.44410905929093564,0.7261465513917217,301.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,154.0,N/A,N/A,N/A
repeat,p3_stage155,cross_site,7,3,3,3,0.4486819496294785,0.7376261520106079,150.66666666666666,17.666666666666668,226.66666666666666,16.0,89.0,N/A,N/A,N/A
repeat,p3_stage155,site_I0002,7,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_stage155,site_I0006,7,3,3,3,0.36190476190476195,0.7150209419946263,15.666666666666666,4.333333333333333,35.666666666666664,3.3333333333333335,10.0,N/A,N/A,N/A
repeat,p3_stage155,site_S0001,7,3,3,3,0.440650643006921,0.7256582559311661,285.6666666666667,13.333333333333334,191.0,13.0,144.0,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,overall,7,3,3,3,0.7350914165605368,0.7356466537867213,452.0,17.666666666666668,226.66666666666666,17.0,174.33333333333334,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,same_site,7,3,3,3,0.7525036079451964,0.752081670245075,301.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,154.0,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,cross_site,7,3,3,3,0.7061431128252512,0.6956602734451599,150.66666666666666,17.666666666666668,226.66666666666666,16.0,89.0,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,site_I0002,7,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,site_I0006,7,3,3,3,0.6206349206349207,0.6233157499604868,15.666666666666666,4.333333333333333,35.666666666666664,3.3333333333333335,10.0,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,site_S0001,7,3,3,3,0.7651903567143012,0.7651221109191058,285.6666666666667,13.333333333333334,191.0,13.0,144.0,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,overall,7,3,3,3,0.7001095770002607,0.7178497436628718,452.0,17.666666666666668,226.66666666666666,17.0,174.33333333333334,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,same_site,7,3,3,3,0.7025459297854392,0.7153749361395181,301.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,154.0,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,cross_site,7,3,3,3,0.6861835381081204,0.7140131769176429,150.66666666666666,17.666666666666668,226.66666666666666,16.0,89.0,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,site_I0002,7,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,site_I0006,7,3,3,3,0.5365079365079365,0.6777381234618076,15.666666666666666,4.333333333333333,35.666666666666664,3.3333333333333335,10.0,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,site_S0001,7,3,3,3,0.7086439280995842,0.7233283156928394,285.6666666666667,13.333333333333334,191.0,13.0,144.0,N/A,N/A,N/A
repeat,p3_demo10,overall,17,3,3,3,0.5866521931674499,0.7673330916064839,459.0,17.666666666666668,226.66666666666666,17.666666666666668,168.66666666666666,N/A,N/A,N/A
repeat,p3_demo10,same_site,17,3,3,3,0.5969354942394562,0.7682042602053204,308.3333333333333,17.666666666666668,226.66666666666666,17.333333333333332,151.0,N/A,N/A,N/A
