model,outer_seed,fold,condition,ac_auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,auroc,auroc_pairs,source_file
p4_legacy_best_val_ac,7,1,overall,0.6790450928381963,377,19,226,18,173,0.6658127619934793,4294,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,1,same_site,0.7007299270072993,274,19,226,17,154,0.6691223574631646,3122,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,1,cross_site,0.6213592233009708,103,19,226,16,76,0.6569965870307167,1172,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,1,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,1,site_I0006,0.42857142857142855,7,3,38,2,7,0.7807017543859649,114,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,1,site_S0001,0.7078651685393258,267,16,188,15,147,0.6648936170212766,3008,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/best_val_ac_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,1,overall,0.6206896551724138,377,19,226,18,173,0.6516068933395436,4294,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,1,same_site,0.6459854014598541,274,19,226,17,154,0.6598334401024984,3122,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,1,cross_site,0.5533980582524272,103,19,226,16,76,0.6296928327645052,1172,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,1,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,1,site_I0006,0.14285714285714285,7,3,38,2,7,0.7368421052631579,114,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,1,site_S0001,0.6591760299625468,267,16,188,15,147,0.6569148936170213,3008,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold1/fixed_epoch6_outer_holdout_logits.csv
