holdout_site,seed,feature,coefficient
I0002,47,caisr_sleep_mean_stage_entropy,0.4452795130525783
I0002,47,caisr_arousal_arousal_index,-0.38882290502122213
I0002,47,caisr_arousal_arousal_burden_ratio,-0.07102249725228431
I0002,47,caisr_arousal_mean_arousal_duration,0.015721240840247872
I0002,47,caisr_respiratory_respiratory_event_index,-0.09061035774181901
I0002,47,caisr_respiratory_respiratory_burden_ratio,0.06326497515011957
I0002,47,caisr_respiratory_mean_resp_duration,0.08650975800318532
I0002,47,caisr_limb_limb_movement_index,0.2604550817054914
I0002,47,caisr_limb_plmi,0.1359923898394578
I0006,7,age,1.058153910762571
I0006,7,sex_Female,-0.07125416194281811
I0006,7,sex_Male,0.0712541619428206
I0006,7,sex_OtherUnknown,0.0
I0006,7,race_Asian,-0.06662153740696308
I0006,7,race_Black,0.1004950979051899
I0006,7,race_Others,-0.034688588243427416
I0006,7,race_Unavailable,0.018550756181505906
I0006,7,race_White,-0.02571409710775075
I0006,7,BMI,-0.06297879761737613
I0006,7,caisr_sleep_tst_sec,0.0009672515895482066
I0006,7,caisr_sleep_se,-0.018280477553065836
I0006,7,caisr_sleep_sol_sec,-0.0017640524297113213
I0006,7,caisr_sleep_rem_latency_sec,0.06415337216239309
I0006,7,caisr_sleep_waso_sec,0.23708007509734794
I0006,7,caisr_sleep_n1_pct,-0.540178138089801
I0006,7,caisr_sleep_n2_pct,-0.5491939972363825
I0006,7,caisr_sleep_n3_pct,-0.5171402883579528
I0006,7,caisr_sleep_rem_pct,-0.4823556315043432
I0006,7,caisr_sleep_transition_rate,-0.09444580467920832
I0006,7,caisr_sleep_short_bout_ratio,0.12421848631699885
I0006,7,caisr_sleep_mean_stage_entropy,0.6415930051363972
I0006,7,caisr_arousal_arousal_index,-0.14903072314710097
I0006,7,caisr_arousal_arousal_burden_ratio,-0.39652443597751813
I0006,7,caisr_arousal_mean_arousal_duration,0.2925066125756468
I0006,7,caisr_respiratory_respiratory_event_index,0.14786014996832017
I0006,7,caisr_respiratory_respiratory_burden_ratio,-0.14668311271037282
I0006,7,caisr_respiratory_mean_resp_duration,-0.07019740614507318
I0006,7,caisr_limb_limb_movement_index,0.4579257521932514
I0006,7,caisr_limb_plmi,-0.155206241468114
I0006,17,age,1.034235160737606
I0006,17,sex_Female,-0.0826512859596408
I0006,17,sex_Male,0.08265128595963953
I0006,17,sex_OtherUnknown,0.0
I0006,17,race_Asian,-0.057093399974424655
I0006,17,race_Black,0.10485319805733924
I0006,17,race_Others,-0.0487787187490446
I0006,17,race_Unavailable,0.028909139691994185
I0006,17,race_White,-0.02904398659587231
I0006,17,BMI,-0.05961271085803755
I0006,17,caisr_sleep_tst_sec,0.006604703272428401
I0006,17,caisr_sleep_se,-0.017762109235553245
I0006,17,caisr_sleep_sol_sec,-0.0071149429839320565
I0006,17,caisr_sleep_rem_latency_sec,0.06375023030248511
I0006,17,caisr_sleep_waso_sec,0.2671811894912651
I0006,17,caisr_sleep_n1_pct,-0.500455348491374
I0006,17,caisr_sleep_n2_pct,-0.4511162057756515
I0006,17,caisr_sleep_n3_pct,-0.458790175722091
I0006,17,caisr_sleep_rem_pct,-0.4053134587016022
I0006,17,caisr_sleep_transition_rate,-0.13391471472574337
I0006,17,caisr_sleep_short_bout_ratio,0.1425177517693577
I0006,17,caisr_sleep_mean_stage_entropy,0.6766632603259898
I0006,17,caisr_arousal_arousal_index,-0.22528461784961304
I0006,17,caisr_arousal_arousal_burden_ratio,-0.3268249629997424
I0006,17,caisr_arousal_mean_arousal_duration,0.25629635227096237
I0006,17,caisr_respiratory_respiratory_event_index,0.10548070069608251
I0006,17,caisr_respiratory_respiratory_burden_ratio,-0.12711449350702592
I0006,17,caisr_respiratory_mean_resp_duration,-0.060596480870329116
I0006,17,caisr_limb_limb_movement_index,0.4590377769030968
I0006,17,caisr_limb_plmi,-0.16737469171997707
I0006,27,age,1.0095806610269462
I0006,27,sex_Female,-0.07478601173523333
I0006,27,sex_Male,0.07478601173523249
I0006,27,sex_OtherUnknown,0.0
I0006,27,race_Asian,-0.0570059514518658
I0006,27,race_Black,0.10255760960763473
I0006,27,race_Others,-0.048401992950083364
I0006,27,race_Unavailable,0.0424439202799056
I0006,27,race_White,-0.03381087171000466
I0006,27,BMI,-0.061159754752629324
I0006,27,caisr_sleep_tst_sec,0.009179661454749438
I0006,27,caisr_sleep_se,-0.11227635036369475
I0006,27,caisr_sleep_sol_sec,-0.0301696284682286
I0006,27,caisr_sleep_rem_latency_sec,0.06358655245954514
I0006,27,caisr_sleep_waso_sec,0.20702874191625248
